TOP PARENT,PARENT-CATEGORY,CATEGORY-NAME,CATEGORY-ID-NUMBER (SHORT-CODE),DESCRIPTION
School,Nursery,Social-Emotional Learning,CAT-GRD-NUR-SEL,"<p><strong>Social-Emotional Learning</strong></p><p>Social-Emotional Learning specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Social-Emotional Learning</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Social-Emotional%20Learning"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Social-Emotional Learning</a></p>"
School,Pre-Primary,Lower Kindergarten (LKG),CAT-GRD-LKG,"<p><strong>Lower Kindergarten (LKG)</strong></p><p>Lower Kindergarten (LKG) early-childhood learning category.</p><p><strong>Typical subjects or topics:</strong> Language readiness, pre-numeracy, environmental awareness, creative expression, motor development</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Lower%20Kindergarten%20(LKG)"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Lower Kindergarten (LKG)</a></p>"
School,Lower Kindergarten (LKG),Language and Literacy Readiness,CAT-GRD-LKG-LNG,"<p><strong>Language and Literacy Readiness</strong></p><p>Language and Literacy Readiness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Language and Literacy Readiness</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Language%20and%20Literacy%20Readiness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Language and Literacy Readiness</a></p>"
School,Lower Kindergarten (LKG),Numeracy Readiness,CAT-GRD-LKG-NUM,"<p><strong>Numeracy Readiness</strong></p><p>Numeracy Readiness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Numeracy Readiness</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Numeracy%20Readiness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Numeracy Readiness</a></p>"
School,Lower Kindergarten (LKG),Environmental Awareness,CAT-GRD-LKG-EVS,"<p><strong>Environmental Awareness</strong></p><p>Environmental Awareness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Environmental Awareness</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Environmental%20Awareness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Environmental Awareness</a></p>"
School,Lower Kindergarten (LKG),Creative Arts and Music,CAT-GRD-LKG-ART,"<p><strong>Creative Arts and Music</strong></p><p>Creative Arts and Music specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Creative Arts and Music</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Creative%20Arts%20and%20Music"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Creative Arts and Music</a></p>"
School,Lower Kindergarten (LKG),Physical and Motor Development,CAT-GRD-LKG-PH,"<p><strong>Physical and Motor Development</strong></p><p>Physical and Motor Development specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Physical and Motor Development</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20and%20Motor%20Development"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical and Motor Development</a></p>"
School,Lower Kindergarten (LKG),Social-Emotional Learning,CAT-GRD-LKG-SEL,"<p><strong>Social-Emotional Learning</strong></p><p>Social-Emotional Learning specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Social-Emotional Learning</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Social-Emotional%20Learning"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Social-Emotional Learning</a></p>"
School,Pre-Primary,Upper Kindergarten (UKG),CAT-GRD-UKG,"<p><strong>Upper Kindergarten (UKG)</strong></p><p>Upper Kindergarten (UKG) early-childhood learning category.</p><p><strong>Typical subjects or topics:</strong> Language readiness, pre-numeracy, environmental awareness, creative expression, motor development</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Upper%20Kindergarten%20(UKG)"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Upper Kindergarten (UKG)</a></p>"
School,Upper Kindergarten (UKG),Language and Literacy Readiness,CAT-GRD-UKG-LNG,"<p><strong>Language and Literacy Readiness</strong></p><p>Language and Literacy Readiness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Language and Literacy Readiness</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Language%20and%20Literacy%20Readiness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Language and Literacy Readiness</a></p>"
School,Upper Kindergarten (UKG),Numeracy Readiness,CAT-GRD-UKG-NUM,"<p><strong>Numeracy Readiness</strong></p><p>Numeracy Readiness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Numeracy Readiness</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Numeracy%20Readiness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Numeracy Readiness</a></p>"
School,Upper Kindergarten (UKG),Environmental Awareness,CAT-GRD-UKG-EVS,"<p><strong>Environmental Awareness</strong></p><p>Environmental Awareness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Environmental Awareness</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Environmental%20Awareness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Environmental Awareness</a></p>"
School,Upper Kindergarten (UKG),Creative Arts and Music,CAT-GRD-UKG-ART,"<p><strong>Creative Arts and Music</strong></p><p>Creative Arts and Music specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Creative Arts and Music</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Creative%20Arts%20and%20Music"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Creative Arts and Music</a></p>"
School,Upper Kindergarten (UKG),Physical and Motor Development,CAT-GRD-UKG-PH,"<p><strong>Physical and Motor Development</strong></p><p>Physical and Motor Development specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Physical and Motor Development</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20and%20Motor%20Development"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical and Motor Development</a></p>"
School,Upper Kindergarten (UKG),Social-Emotional Learning,CAT-GRD-UKG-SEL,"<p><strong>Social-Emotional Learning</strong></p><p>Social-Emotional Learning specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Social-Emotional Learning</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Social-Emotional%20Learning"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Social-Emotional Learning</a></p>"
School,Primary (Classes 1-5),Class 1,CAT-GRD-001,"<p><strong>Class 1</strong></p><p>Curriculum category for Class 1.</p><p><strong>Typical subjects or topics:</strong> English, Hindi or Regional Language, Mathematics, Environmental Studies, Art and Craft, Physical Education, Digital Awareness</p><p><strong>Recommended course structure:</strong> Subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Class%201"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Class 1</a></p>"
School,Class 1,English,CAT-GRD-001-EN,"<p><strong>English</strong></p><p>English specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Class 1,Hindi or Regional Language,CAT-GRD-001-LAN,"<p><strong>Hindi or Regional Language</strong></p><p>Hindi or Regional Language specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Hindi or Regional Language</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Hindi%20or%20Regional%20Language"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Hindi or Regional Language</a></p>"
School,Class 1,Mathematics,CAT-GRD-001-MA,"<p><strong>Mathematics</strong></p><p>Mathematics specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Mathematics</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mathematics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mathematics</a></p>"
School,Class 1,Environmental Studies,CAT-GRD-001-EVS,"<p><strong>Environmental Studies</strong></p><p>Environmental Studies specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Environmental Studies</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Environmental%20Studies"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Environmental Studies</a></p>"
School,Class 1,Art and Craft,CAT-GRD-001-ART,"<p><strong>Art and Craft</strong></p><p>Art and Craft specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Art and Craft</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Art%20and%20Craft"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Art and Craft</a></p>"
School,Class 1,Physical Education,CAT-GRD-001-PE,"<p><strong>Physical Education</strong></p><p>Physical Education specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Physical Education</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20Education"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical Education</a></p>"
School,Class 1,Digital Awareness,CAT-GRD-001-DIG,"<p><strong>Digital Awareness</strong></p><p>Digital Awareness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Digital Awareness</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Digital%20Awareness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Digital Awareness</a></p>"
School,Primary (Classes 1-5),Class 2,CAT-GRD-002,"<p><strong>Class 2</strong></p><p>Curriculum category for Class 2.</p><p><strong>Typical subjects or topics:</strong> English, Hindi or Regional Language, Mathematics, Environmental Studies, Art and Craft, Physical Education, Digital Awareness</p><p><strong>Recommended course structure:</strong> Subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Class%202"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Class 2</a></p>"
School,Class 2,English,CAT-GRD-002-EN,"<p><strong>English</strong></p><p>English specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Class 2,Hindi or Regional Language,CAT-GRD-002-LAN,"<p><strong>Hindi or Regional Language</strong></p><p>Hindi or Regional Language specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Hindi or Regional Language</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Hindi%20or%20Regional%20Language"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Hindi or Regional Language</a></p>"
School,Class 2,Mathematics,CAT-GRD-002-MA,"<p><strong>Mathematics</strong></p><p>Mathematics specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Mathematics</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mathematics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mathematics</a></p>"
School,Class 2,Environmental Studies,CAT-GRD-002-EVS,"<p><strong>Environmental Studies</strong></p><p>Environmental Studies specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Environmental Studies</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Environmental%20Studies"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Environmental Studies</a></p>"
School,Class 2,Art and Craft,CAT-GRD-002-ART,"<p><strong>Art and Craft</strong></p><p>Art and Craft specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Art and Craft</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Art%20and%20Craft"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Art and Craft</a></p>"
School,Class 2,Physical Education,CAT-GRD-002-PE,"<p><strong>Physical Education</strong></p><p>Physical Education specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Physical Education</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20Education"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical Education</a></p>"
School,Class 2,Digital Awareness,CAT-GRD-002-DIG,"<p><strong>Digital Awareness</strong></p><p>Digital Awareness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Digital Awareness</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Digital%20Awareness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Digital Awareness</a></p>"
School,Primary (Classes 1-5),Class 3,CAT-GRD-003,"<p><strong>Class 3</strong></p><p>Curriculum category for Class 3.</p><p><strong>Typical subjects or topics:</strong> English, Hindi or Regional Language, Mathematics, Environmental Studies, Art and Craft, Physical Education, Computer Awareness</p><p><strong>Recommended course structure:</strong> Subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Class%203"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Class 3</a></p>"
School,Class 3,English,CAT-GRD-003-EN,"<p><strong>English</strong></p><p>English specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Class 3,Hindi or Regional Language,CAT-GRD-003-LAN,"<p><strong>Hindi or Regional Language</strong></p><p>Hindi or Regional Language specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Hindi or Regional Language</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Hindi%20or%20Regional%20Language"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Hindi or Regional Language</a></p>"
School,Class 3,Mathematics,CAT-GRD-003-MA,"<p><strong>Mathematics</strong></p><p>Mathematics specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Mathematics</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mathematics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mathematics</a></p>"
School,Class 3,Environmental Studies,CAT-GRD-003-EVS,"<p><strong>Environmental Studies</strong></p><p>Environmental Studies specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Environmental Studies</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Environmental%20Studies"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Environmental Studies</a></p>"
School,Class 3,Art and Craft,CAT-GRD-003-ART,"<p><strong>Art and Craft</strong></p><p>Art and Craft specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Art and Craft</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Art%20and%20Craft"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Art and Craft</a></p>"
School,Class 3,Physical Education,CAT-GRD-003-PE,"<p><strong>Physical Education</strong></p><p>Physical Education specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Physical Education</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20Education"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical Education</a></p>"
School,Class 3,Computer Awareness,CAT-GRD-003-DIG,"<p><strong>Computer Awareness</strong></p><p>Computer Awareness specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Computer Awareness</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Computer%20Awareness"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Computer Awareness</a></p>"
School,Primary (Classes 1-5),Class 4,CAT-GRD-004,"<p><strong>Class 4</strong></p><p>Curriculum category for Class 4.</p><p><strong>Typical subjects or topics:</strong> English, Hindi or Regional Language, Mathematics, Environmental Studies, Art and Craft, Physical Education, Computer Studies</p><p><strong>Recommended course structure:</strong> Subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Class%204"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Class 4</a></p>"
School,Class 4,English,CAT-GRD-004-EN,"<p><strong>English</strong></p><p>English specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Class 4,Hindi or Regional Language,CAT-GRD-004-LAN,"<p><strong>Hindi or Regional Language</strong></p><p>Hindi or Regional Language specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Hindi or Regional Language</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Hindi%20or%20Regional%20Language"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Hindi or Regional Language</a></p>"
School,Class 4,Mathematics,CAT-GRD-004-MA,"<p><strong>Mathematics</strong></p><p>Mathematics specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Mathematics</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mathematics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mathematics</a></p>"
School,Class 4,Environmental Studies,CAT-GRD-004-EVS,"<p><strong>Environmental Studies</strong></p><p>Environmental Studies specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Environmental Studies</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Environmental%20Studies"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Environmental Studies</a></p>"
School,Class 4,Art and Craft,CAT-GRD-004-ART,"<p><strong>Art and Craft</strong></p><p>Art and Craft specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Art and Craft</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Art%20and%20Craft"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Art and Craft</a></p>"
School,Class 4,Physical Education,CAT-GRD-004-PE,"<p><strong>Physical Education</strong></p><p>Physical Education specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Physical Education</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20Education"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical Education</a></p>"
School,Class 4,Computer Studies,CAT-GRD-004-DIG,"<p><strong>Computer Studies</strong></p><p>Computer Studies specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Computer Studies</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Computer%20Studies"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Computer Studies</a></p>"
School,Primary (Classes 1-5),Class 5,CAT-GRD-005,"<p><strong>Class 5</strong></p><p>Curriculum category for Class 5.</p><p><strong>Typical subjects or topics:</strong> English, Hindi or Regional Language, Mathematics, Environmental Studies, Art and Craft, Physical Education, Computer Studies</p><p><strong>Recommended course structure:</strong> Subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Class%205"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Class 5</a></p>"
School,Class 5,English,CAT-GRD-005-EN,"<p><strong>English</strong></p><p>English specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Class 5,Hindi or Regional Language,CAT-GRD-005-LAN,"<p><strong>Hindi or Regional Language</strong></p><p>Hindi or Regional Language specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Hindi or Regional Language</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Hindi%20or%20Regional%20Language"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Hindi or Regional Language</a></p>"
School,Class 5,Mathematics,CAT-GRD-005-MA,"<p><strong>Mathematics</strong></p><p>Mathematics specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Mathematics</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mathematics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mathematics</a></p>"
School,Class 5,Environmental Studies,CAT-GRD-005-EVS,"<p><strong>Environmental Studies</strong></p><p>Environmental Studies specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Environmental Studies</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Environmental%20Studies"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Environmental Studies</a></p>"
School,Class 5,Art and Craft,CAT-GRD-005-ART,"<p><strong>Art and Craft</strong></p><p>Art and Craft specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Art and Craft</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Art%20and%20Craft"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Art and Craft</a></p>"
School,Class 5,Physical Education,CAT-GRD-005-PE,"<p><strong>Physical Education</strong></p><p>Physical Education specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Physical Education</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20Education"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical Education</a></p>"
School,Class 5,Computer Studies,CAT-GRD-005-DIG,"<p><strong>Computer Studies</strong></p><p>Computer Studies specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Computer Studies</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Computer%20Studies"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Computer Studies</a></p>"
School,Middle (Classes 6-8),Class 6,CAT-GRD-006,"<p><strong>Class 6</strong></p><p>Curriculum category for Class 6.</p><p><strong>Typical subjects or topics:</strong> English, Hindi or Regional Language, Third Language, Mathematics, Science, Social Science, Computer Science, Arts Education, Physical Education</p><p><strong>Recommended course structure:</strong> Subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Class%206"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Class 6</a></p>"
School,Class 6,English,CAT-GRD-006-EN,"<p><strong>English</strong></p><p>English specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Class 6,Hindi or Regional Language,CAT-GRD-006-LAN1,"<p><strong>Hindi or Regional Language</strong></p><p>Hindi or Regional Language specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Hindi or Regional Language</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Hindi%20or%20Regional%20Language"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Hindi or Regional Language</a></p>"
School,Class 6,Third Language,CAT-GRD-006-LAN2,"<p><strong>Third Language</strong></p><p>Third Language specialization covering applied knowledge, procedures, tools, and role-relevant practice.</p><p><strong>Typical subjects or topics:</strong> Third Language</p><p><strong>Recommended course structure:</strong> Chapter-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Third%20Language"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Third Language</a></p>"
